name,version,latest_version,author,description,github_url,homepage,source,files_found_in
AXP192.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\AXP192.cpp, ESP32Marauder-master\esp32_marauder\configs.h"
Adafruit_MAX1704X.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\esp32_marauder\BatteryInterface.h
Adafruit_NeoPixel.h,,,,,https://github.com/espressif/arduino-esp32,,code,ESP32Marauder-master\esp32_marauder\LedInterface.h
Arduino.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\AXP192.h, ESP32Marauder-master\esp32_marauder\BatteryInterface.h, ESP32Marauder-master\esp32_marauder\Buffer.h, ESP32Marauder-master\esp32_marauder\LedInterface.h, ESP32Marauder-master\esp32_marauder\Switches.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino, ESP32Marauder-master\esp32_marauder\flipperLED.h, ESP32Marauder-master\esp32_marauder\stickcLED.h, ESP32Marauder-master\esp32_marauder\utils.h, ESP32Marauder-master\esp32_marauder\xiaoLED.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\SimpleServer\SimpleServer.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\WebAuthentication.h"
ArduinoJson.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\settings.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncJson.h"
Assets.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\Display.h, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\configs.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
AsyncEventSource.h,,,,,https://github.com/Links2004/arduinoWebSockets,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
AsyncTCP.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\CaptivePortal\CaptivePortal.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\Filters\Filters.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\SimpleServer\SimpleServer.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
AsyncWebSocket.h,,,,,https://github.com/Links2004/arduinoWebSockets,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
AsyncWebSynchronization.h,,,,,https://github.com/Links2004/arduinoWebSockets,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h"
BatteryInterface.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\BatteryInterface.cpp, ESP32Marauder-master\esp32_marauder\MenuFunctions.h, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
Buffer.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\Buffer.cpp, ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\esp32_marauder\SDInterface.h, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
CommandLine.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\CommandLine.cpp, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
DNSServer.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\CaptivePortal\CaptivePortal.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\Filters\Filters.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino"
Display.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\CommandLine.h, ESP32Marauder-master\esp32_marauder\Display.cpp, ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\esp32_marauder\SDInterface.h, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino, ESP32Marauder-master\esp32_marauder\settings.h"
EPD_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
ESP Async WebServer,2.10.4,,,"Asynchronous HTTP and WebSocket Server Library for ESP32. Supports: WebSocket, SSE, Authentication, Arduino Json 7, File Upload, Static File serving, URL Rewrite, URL Redirect, etc.",https://github.com/mathieucarbou/ESPAsyncWebServer.git,https://github.com/mathieucarbou/ESPAsyncWebServer,arduino_library_json,
ESP8266WiFi.h,,,,,https://github.com/mathieucarbou/ESPAsyncWebServer,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\CaptivePortal\CaptivePortal.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\Filters\Filters.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\SimpleServer\SimpleServer.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
ESPAsyncTCP.h,,,,,https://github.com/mathieucarbou/ESPAsyncWebServer,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\CaptivePortal\CaptivePortal.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\Filters\Filters.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\SimpleServer\SimpleServer.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
ESPAsyncWebServer.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\CaptivePortal\CaptivePortal.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\Filters\Filters.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\SimpleServer\SimpleServer.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncJson.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSynchronization.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESP_Async_WebServer.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\WebHandlers.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\WebRequest.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\WebResponses.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\WebServer.cpp"
ESPmDNS.h,,,,,,,code,ESP32Marauder-master\MarauderOTA\MarauderOTA.ino
EvilPortal.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\EvilPortal.cpp, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
FS.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\Buffer.h, ESP32Marauder-master\esp32_marauder\Display.h, ESP32Marauder-master\esp32_marauder\configs.h, ESP32Marauder-master\esp32_marauder\settings.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h"
FileOpenMode.h,,,,,https://github.com/me-no-dev/ESPAsyncWebServer,,code,ESP32Marauder-master\libraries\ESPAsyncWebServer\src\ESPAsyncWebServer.h
FreeRTOS.h,,,,,https://github.com/espressif/arduino-esp32,,code,ESP32Marauder-master\esp32_marauder\esp32_marauder.ino
GpsInterface.h,,,,,https://github.com/espressif/arduino-esp32,,code,"ESP32Marauder-master\esp32_marauder\GpsInterface.cpp, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
HX8357D_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
Hash.h,,,,,https://github.com/Links2004/arduinoWebSockets,,code,"ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncEventSource.h, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.cpp, ESP32Marauder-master\libraries\ESPAsyncWebServer\src\AsyncWebSocket.h"
ILI9163_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
ILI9341_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
ILI9481_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
ILI9486_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
ILI9488_Defines.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,ESP32Marauder-master\User_Setup_Select.h
JPEGDecoder.h,,,,,https://github.com/espressif/arduino-esp32,,code,ESP32Marauder-master\esp32_marauder\Display.h
LedInterface.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\CommandLine.h, ESP32Marauder-master\esp32_marauder\LedInterface.cpp, ESP32Marauder-master\esp32_marauder\WiFiScan.h, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
LinkedList.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\Display.h, ESP32Marauder-master\esp32_marauder\EvilPortal.h, ESP32Marauder-master\esp32_marauder\GpsInterface.h, ESP32Marauder-master\esp32_marauder\configs.h"
LittleFS.h,,,,,https://github.com/Links2004/arduinoWebSockets,,code,ESP32Marauder-master\libraries\ESPAsyncWebServer\examples\StreamFiles\StreamFiles.ino
MenuFunctions.h,,,,,https://github.com/Bodmer/JPEGDecoder,,code,"ESP32Marauder-master\esp32_marauder\CommandLine.h, ESP32Marauder-master\esp32_marauder\MenuFunctions.cpp, ESP32Marauder-master\esp32_marauder\esp32_marauder.ino"
MicroNMEA.h,,,,,https://github.com/espressif/arduino-esp32,,code,ESP32Marauder-master\esp32_marauder\GpsInterface.h
